build	wl	T	cache	kv	rep	wall_s	thpt_mops	w_avg_us	r_avg_us	w_p99_us	r_p99_us
hazard	workloadb	32	off	256	1	0.015007	13.3262	10.118	4.105	35.741	17.790
hazard	workloadb	32	off	256	2	0.015273	13.0941	10.169	4.189	34.092	17.523
hazard	workloadb	32	off	256	3	0.015305	13.0668	10.258	4.176	44.468	18.381
hazard	workloadb	32	off	256	4	0.014822	13.4925	10.195	4.166	58.734	17.725
hazard	workloadb	32	off	256	5	0.016684	11.9868	10.620	4.421	43.292	19.879
w1	workloadb	32	off	256	1	0.015341	13.0370	10.278	4.249	42.914	17.988
w1	workloadb	32	off	256	2	0.015508	12.8957	10.389	4.252	45.211	18.194
w1	workloadb	32	off	256	3	0.015142	13.2074	10.143	4.152	42.685	17.688
w1	workloadb	32	off	256	4	0.015254	13.1105	10.239	4.223	51.250	18.096
w1	workloadb	32	off	256	5	0.014948	13.3788	10.172	4.129	50.217	17.891
w3	workloadb	32	off	256	1	0.015441	12.9517	10.250	4.220	39.100	17.720
w3	workloadb	32	off	256	2	0.015051	13.2882	10.224	4.122	48.834	18.262
w3	workloadb	32	off	256	3	0.015223	13.1380	10.392	4.199	52.340	17.613
w3	workloadb	32	off	256	4	0.014902	13.4201	10.204	4.188	46.767	18.159
w3	workloadb	32	off	256	5	0.015339	13.0387	10.192	4.166	30.582	18.319
hazard	workloadc	64	off	1024	1	0.010866	18.4060	0.000	5.349	0.000	22.917
hazard	workloadc	64	off	1024	2	0.011277	17.7336	0.000	5.686	0.000	23.449
hazard	workloadc	64	off	1024	3	0.011129	17.9711	0.000	5.478	0.000	26.806
hazard	workloadc	64	off	1024	4	0.010584	18.8947	0.000	5.270	0.000	22.452
hazard	workloadc	64	off	1024	5	0.011386	17.5654	0.000	5.490	0.000	23.356
w1	workloadc	64	off	1024	1	0.011315	17.6757	0.000	5.372	0.000	25.249
w1	workloadc	64	off	1024	2	0.010715	18.6654	0.000	5.465	0.000	23.578
w1	workloadc	64	off	1024	3	0.010694	18.7003	0.000	5.407	0.000	23.896
w1	workloadc	64	off	1024	4	0.010951	18.2615	0.000	5.343	0.000	23.250
w1	workloadc	64	off	1024	5	0.010795	18.5254	0.000	5.296	0.000	23.513
w3	workloadc	64	off	1024	1	0.010252	19.5084	0.000	5.332	0.000	24.831
w3	workloadc	64	off	1024	2	0.010593	18.8804	0.000	5.331	0.000	24.088
w3	workloadc	64	off	1024	3	0.011026	18.1389	0.000	5.625	0.000	23.601
w3	workloadc	64	off	1024	4	0.011076	18.0554	0.000	5.367	0.000	22.145
w3	workloadc	64	off	1024	5	0.010857	18.4196	0.000	5.382	0.000	24.081
hazard	workloadf	32	off	512	1	0.016981	11.7779	10.438	4.411	35.188	18.069
hazard	workloadf	32	off	512	2	0.017132	11.6734	10.526	4.504	35.039	18.585
hazard	workloadf	32	off	512	3	0.017648	11.3327	10.564	4.574	33.345	18.909
hazard	workloadf	32	off	512	4	0.017461	11.4541	10.441	4.457	30.996	18.568
hazard	workloadf	32	off	512	5	0.017169	11.6482	10.389	4.405	35.099	18.075
w1	workloadf	32	off	512	1	0.017199	11.6279	10.394	4.444	33.768	18.797
w1	workloadf	32	off	512	2	0.017029	11.7447	10.381	4.473	30.000	18.382
w1	workloadf	32	off	512	3	0.017264	11.5841	10.398	4.472	32.149	18.455
w1	workloadf	32	off	512	4	0.017089	11.7027	10.518	4.536	30.364	18.304
w1	workloadf	32	off	512	5	0.017320	11.5473	10.388	4.489	34.558	18.558
w3	workloadf	32	off	512	1	0.017402	11.4923	10.451	4.520	27.954	18.944
w3	workloadf	32	off	512	2	0.017086	11.7048	10.396	4.431	30.780	18.445
w3	workloadf	32	off	512	3	0.017223	11.6117	10.428	4.505	27.424	18.449
w3	workloadf	32	off	512	4	0.017350	11.5267	10.426	4.417	39.520	18.511
w3	workloadf	32	off	512	5	0.017353	11.5247	10.499	4.535	30.791	18.360
